101	1	0	55
102	2	147	58
103	3	4	50
104	4	222	47
105	1	199	30
106	2	155	31
107	3	190	19
108	4	18	52
109	1	136	20
110	2	195	40
111	3	204	60
112	4	39	35
113	1	185	17
114	2	58	32
115	3	128	30
116	4	147	22
117	1	66	54
118	2	200	19
119	3	77	28
120	4	210	43
121	1	203	16
122	2	71	16
123	3	171	50
124	4	77	23
125	1	96	46
126	2	176	49
127	3	11	33
128	4	172	18
129	1	69	56
130	2	25	17
131	3	37	23
132	4	248	54
133	1	166	40
134	2	18	55
135	3	158	27
136	4	148	44
137	1	54	19
138	2	179	33
139	3	198	31
140	4	121	28
141	1	109	15
142	2	150	40
143	3	81	26
144	4	120	49
145	1	45	54
146	2	129	35
147	3	199	20
148	4	165	18
149	1	142	17
150	2	126	40
151	3	178	58
152	4	95	30
153	1	215	40
154	2	77	31
155	3	133	19
156	4	102	28
157	1	151	28
158	2	89	52
159	3	173	28
160	4	23	58
161	1	161	60
162	2	134	36
163	3	88	21
164	4	40	59
165	1	22	20
166	2	72	43
167	3	145	54
168	4	192	45
169	1	47	55
170	2	49	27
171	3	112	37
172	4	115	35
173	1	186	31
174	2	232	24
175	3	219	25
176	4	138	19
177	1	88	25
178	2	130	56
179	3	160	59
180	4	230	48
181	1	162	49
182	2	97	48
183	3	219	28
184	4	219	21
185	1	151	49
186	2	48	30
187	3	182	28
188	4	85	51
189	1	33	51
190	2	155	45
191	3	156	29
192	4	56	45
193	1	194	33
194	2	59	58
195	3	50	56
196	4	118	42
197	1	149	57
198	2	0	29
199	3	188	49
200	4	174	42
101	1	97	17
102	2	196	33
103	3	151	36
104	4	70	24
105	1	131	59
106	2	212	40
107	3	71	18
108	4	65	28
109	1	17	44
110	2	130	18
111	3	170	23
112	4	8	51
113	1	61	50
114	2	70	50
115	3	228	54
116	4	129	45
117	1	184	51
118	2	73	39
119	3	249	18
120	4	202	54
121	1	88	40
122	2	182	45
123	3	55	43
124	4	44	59
125	1	112	55
126	2	84	27
127	3	93	22
128	4	174	23
129	1	95	32
130	2	183	58
131	3	191	30
132	4	1	56
133	1	210	50
134	2	234	28
135	3	18	40
136	4	70	15
137	1	157	34
138	2	5	47
139	3	202	44
140	4	174	58
141	1	78	47
142	2	246	57
143	3	174	21
144	4	71	53
145	1	18	30
146	2	81	52
147	3	53	55
148	4	241	33
149	1	88	39
150	2	226	34
151	3	31	55
152	4	94	19
153	1	193	19
154	2	234	33
155	3	56	45
156	4	157	31
157	1	91	43
158	2	54	56
159	3	199	28
160	4	44	18
161	1	168	22
162	2	248	22
163	3	204	30
164	4	71	27
165	1	119	45
166	2	87	45
167	3	228	19
168	4	102	38
169	1	122	57
170	2	141	43
171	3	211	23
172	4	49	29
173	1	163	38
174	2	179	52
175	3	130	57
176	4	184	46
177	1	108	31
178	2	55	16
179	3	120	17
180	4	106	19
181	1	18	57
182	2	119	15
183	3	46	44
184	4	54	19
185	1	185	32
186	2	104	38
187	3	112	38
188	4	79	53
189	1	181	26
190	2	211	20
191	3	134	26
192	4	111	36
193	1	92	60
194	2	191	29
195	3	154	44
196	4	146	33
197	1	101	20
198	2	214	52
199	3	202	59
200	4	46	20
101	1	249	28
102	2	19	44
103	3	161	36
104	4	245	27
105	1	160	17
106	2	245	22
107	3	111	21
108	4	245	24
109	1	56	59
110	2	94	22
111	3	233	16
112	4	124	35
113	1	248	15
114	2	141	39
115	3	14	31
116	4	90	50
117	1	208	56
118	2	137	47
119	3	176	39
120	4	176	19
121	1	43	48
122	2	192	27
123	3	149	50
124	4	154	21
125	1	198	49
126	2	241	35
127	3	140	59
128	4	194	19
129	1	32	31
130	2	140	29
131	3	196	31
132	4	131	49
133	1	72	51
134	2	211	15
