SaleID,DateKey,ProductKey,CustomerKey,EmployeeKey,StoreKey,BranchKey,PromotionKey,ChannelKey,OrderKey,Quantity,UnitPrice,Discount,TotalAmount,IsReturn
4373.0,20260325,185,5513,,,1,12,2,6373.0,3.0,403.69,0.0,1211.07,0.0
6609.0,20260311,148,5515,,,2,12,2,8609.0,3.0,2177.93,0.0,6533.79,0.0
5718.0,20260320,196,5199,,,2,4,2,7718.0,3.0,2482.76,0.0,7448.28,0.0
5518.0,20260228,131,6183,,,2,1,2,7518.0,5.0,978.39,0.0,4891.95,0.0
8349.0,20260410,133,5854,,,2,12,2,10349.0,1.0,1667.53,20.75,1646.78,0.0
11088.0,20260218,194,6419,,,1,2,2,13088.0,6.0,603.42,0.0,3620.52,0.0
2336.0,20260427,174,5304,,,1,3,2,4336.0,4.0,1164.55,0.0,4658.2,0.0
6328.0,20260228,166,5567,,,2,4,2,8328.0,6.0,977.99,90.77,5777.17,0.0
1655.0,20260307,169,5352,,,2,9,2,3655.0,2.0,2288.58,0.0,4577.16,0.0
7554.0,20260425,151,6349,,,1,3,2,9554.0,1.0,2751.32,232.58,2518.74,0.0
10906.0,20260216,183,6244,,,2,9,2,12906.0,3.0,2047.37,0.0,6142.11,0.0
14882.0,20260304,106,5173,,,2,10,2,16882.0,5.0,2346.02,0.0,11730.1,0.0
681.0,20260323,147,6283,,,1,5,2,2681.0,5.0,1618.1,0.0,8090.5,0.0
8589.0,20260311,171,5132,,,2,11,2,10589.0,6.0,2424.11,0.0,14544.66,0.0
3848.0,20260409,139,6438,,,2,7,2,5848.0,2.0,523.94,193.98,853.9,0.0
12326.0,20260427,198,5117,,,2,4,2,14326.0,3.0,1160.55,0.0,3481.65,0.0
7711.0,20260402,175,6300,,,2,11,2,9711.0,2.0,773.29,0.0,1546.58,0.0
14584.0,20260204,182,5894,,,2,4,2,16584.0,6.0,2553.89,0.0,15323.34,0.0
12586.0,20260417,104,6286,,,1,10,2,14586.0,3.0,1454.54,0.0,4363.62,0.0
6134.0,20260214,174,5402,,,1,7,2,8134.0,3.0,2569.21,0.0,7707.63,0.0
4815.0,20260317,158,5679,,,1,11,2,6815.0,2.0,1997.83,0.0,3995.66,0.0
11974.0,20260204,183,5609,,,2,11,2,13974.0,3.0,641.59,0.0,1924.77,0.0
5986.0,20260318,186,6468,,,2,8,2,7986.0,6.0,509.68,3.79,3054.29,0.0
2303.0,20260325,131,6006,,,1,8,2,4303.0,3.0,1690.33,40.74,5030.25,0.0
97.0,20260207,144,6487,,,2,10,2,2097.0,5.0,1041.21,0.0,5206.05,0.0
11845.0,20260327,182,6335,,,2,9,2,13845.0,3.0,573.66,0.0,1720.98,1.0
3751.0,20260402,136,6402,,,1,8,2,5751.0,3.0,1511.44,0.0,4534.32,0.0
14802.0,20260314,148,6297,,,2,1,2,16802.0,5.0,454.67,0.0,2273.35,0.0
2378.0,20260310,139,6413,,,2,12,2,4378.0,4.0,2351.9,0.0,9407.6,0.0
5462.0,20260403,143,6424,,,2,2,2,7462.0,1.0,2260.67,129.79,2130.88,0.0
13064.0,20260214,137,6246,,,2,3,2,15064.0,3.0,537.26,0.0,1611.78,0.0
-10437.0,20260428,182,5913,,,1,9,2,12437.0,-5.0,-444.82,-112.56,-2111.54,-0.0
14048.0,20260208,169,5210,,,2,11,2,16048.0,3.0,840.08,160.28,2359.96,0.0
4926.0,20260407,198,5715,,,1,9,2,6926.0,5.0,2299.97,0.0,11499.85,0.0
9258.0,20260419,118,5428,,,1,1,2,11258.0,6.0,2633.21,0.0,15799.26,0.0
